abandon 放弃；放纵$0
onset 开始发作$0
opacity 不透明性，晦涩$0
opalescence 乳白光$0
opaque 不透明的；难懂的$0
operative 实施中的；生效的$0
operetta 小歌剧$0
opine 想，以为$0
opinionated 固执己见的$0
opponent 对手，敌手$0
opportune 合适的，适当的$0
oppose 反对$0
oppress 压迫，压制$0
opprobrious 辱骂的，恶名声的$0
optimism 乐观主义$0
optimist 乐观主义者$0
optimum 最好的，最有利的$0
optional 可自由选择的$0
opulent 富裕的；充足的$0
oracle 代神发布神谕的人$0
oration 正式演说，演讲$0
oratorio 清唱剧$0
oratory 演讲术$0
orchard 果园$0
orchestra 管弦乐队$0
ordain 任命；颁发命令$0
ordeal 严峻考验，痛苦经验$0
ordinance 法令，条例$0
ordnance 大炮；军械$0
ore 矿，矿石$0
organism 生物；有机体$0
orient 确定方向；使熟悉情况$0
original 最初的，原始的；有创意的$0
originality 创造性，独特性$0
ornate 华美的；充满装饰的$0
ornithologist 鸟类学家，鸟类学者$0
ornithology 鸟类学家，鸟类学者$0
orthodontics 畸齿矫正学$0
orthodox 正统的$0
oscillate 摆动；犹豫$0
osmosis 渗透；潜移默化$0
osseous 骨的，多骨的$0
ossify 硬化，骨化；使僵化$0
ostensible 表面上的$0
ostentation 夸示，夸耀$0
ostracism 放逐，排斥$0
ostracize 放逐，排斥$0
ostrich 鸵鸟；不接受现实的人$0
other-directed 受人支配的$0
otter 水獭$0
oust 驱逐；把…赶走$0
outgoing 友善的；即将离去的$0
outgrowth 自然结果；副产品$0
outlandish 古怪的$0
outlet 出口$0
outline 轮廓；梗概$0
outmaneuver 以策略制胜$0
outmoded 不再流行的$0
outrage 暴行$0
outset 开始，开头$0
outshine 比…更好$0
outskirts 郊区，郊外$0
outspoken 直言不讳的$0
outstrip 超过；跑过$0
outwit 以机智胜过$0
ovation 热烈的欢迎、鼓掌$0
overbearing 专横的，独断的$0
overdose 过大的剂量$0
overdue 过期未付的；逾期的$0
overexposure 过分暴露，曝光过度$0
overflow 溢出；充满$0
overhaul 彻底检查；大修$0
overlap 重叠$0
overlook 忽视；俯视$0
overpowering 压倒性的，不可抗拒的$0
overreach 做事过头$0
override 不理会；蹂躏，践踏$0
overriding 最主要的，优先的$0
overrule 否决$0
oversee 监督$0
overshadow 遮蔽，使失色$0
overstate 夸张，对…言过其实$0
overt 公开的，非秘密的$0
overthrow 推翻；终止；推翻；终止$0
overture 前奏曲，序曲$0
overturn 翻倒；推翻$0
overwhelm 泛滥；压倒$0
overwrought 紧张过度的，兴奋过度的$0
owl 猫头鹰$0
oxidize 氧化，生锈$0
pacifist 和平主义者，反战主义者$0
pacify 使安静，抚慰$0
pack 狼群；一群动物$0
packed 充满人的，拥挤的$0
pact 协定，条约$0
padding 衬垫，填料$0
paean 赞美歌，颂歌$0
pagan 没有宗教信仰的人；异教徒$0
pageant 壮观的游行；露天历史剧$0
painkiller 止痛药$0
painstaking 煞费苦心的$0
palate 上颚；口味；爱好$0
palatial 宫殿般的；宏伟的$0
palette 调色板，颜料配置$0
pall 令人发腻，失去吸引力$0
palliate 减轻；掩饰$0
palliative 缓释剂；减轻的，缓和的$0
pallid 苍白的，没血色的$0
palmy 繁荣的；棕榈的$0
palpable 可触知的，明显的$0
palpitate 极速而不规则地跳动$0
palter 含糊其词$0
paltry 无价值的，微不足道的$0
pamphlet 小册子$0
pan 严厉批评$0
panacea 万灵药$0
panache 炫耀；羽饰$0
pancreas 胰腺$0
pandemic 大范围流行的$0
pandemonium 喧嚣，大混乱$0
panegyric 颂词，颂扬$0
panel 专门小组；仪表板$0
pang 一阵剧痛$0
panic 恐慌的；恐慌，惊惶$0
panorama 概观，全景$0
panther 黑豹$0
pantomime 哑剧$0
pantry 食品室$0
papyrus 莎草；莎草纸$0
parable 寓言，比喻$0
parabola 抛物线$0
paradigm 范例，示范$0
prardox 似非而可能是的理论；与通常见解相反的观点$0
paragon 模型，典范$0
parallel 平行的；类似的；平行线；与…相似$0
parallelism 平行，类似$0
parameter 参量，变量$0
paramount 最重要的，最高权力的$0
paranoia 偏执狂；多疑症$0
paranoid 偏执狂的，过分怀疑的$0
paraphrase 解释，释义$0
parasite 食客；寄生虫$0
parch 烘烤；烤焦$0
pare 削；修剪；削减，缩减$0
pariah 贱民，被社会遗弃者$0
parity 同等，相等$0
parka 派克大衣$0
parlance 说法，用语，词汇$0
parody 模仿性嘲弄文章或表演；拙劣的模仿$0
paroxysm 突发$0
parquet 镶木地板$0
parry 挡开，避开$0
parse 对…做语法分析$0
parsimony 过分节俭，吝啬$0
partial 局部的；偏袒的$0
partiality 偏袒，偏心$0
particular 事实，细节$0
particularize 详述，列举$0
partisan 党派支持者；党徒$0
partition 隔开；隔墙$0
passionate 充满激情的$0
passive 被动的，缺乏活力的$0
pastel 彩色粉笔或蜡笔画；柔和的色彩$0
pasteurize 加热杀菌，消毒$0
pastiche 混合拼凑的作品$0
pastoral 田园生活的；宁静的$0
pastry 糕点，点心$0
patch 补丁；一小片$0
patent 显而易见的；专利权$0
pathogen 病原体$0
pathology 病理学$0
patina 绿锈；光亮的外表$0
patrician 贵族$0
patrimony 祖传的财产$0
patriot 爱国者，爱国主义者$0
patriotism 爱国主义，爱国心$0
patronage 赞助，惠顾$0
patronize 以高人一等的态度对待；光顾，惠顾$0
paucity 小量，缺乏$0
paunchy 大肚子的$0
pauper 贫民，乞丐$0
peak 憔悴，消瘦$0
pecan 山核桃$0
peccadillo 小过失$0
peck 啄食；轻啄$0
pedagogur 教师，教育者$0
pedagogy 教育学，教育法$0
pedal 踏板，脚蹬；骑脚踏车$0
pedant 迂腐之人，书呆子$0
pedestal 基座$0
pedestrian 徒步的；缺乏形象的；行人$0
pediatrics 小儿科$0
peel 削去…的皮；剥落；外皮$0
peer 同等之人，同辈$0
peerless 无可匹敌的$0
peeve 使气恼，怨恨$0
peevish 坏脾气的，易怒的$0
pejorative 带有轻蔑意义的，贬低的$0
pelf 钱财；不义之财$0
pell-mell 混乱地$0
pellucid 清晰的，清澈的$0
pen 围栏；监禁；母天鹅$0
penalize 置于不利地位；处罚$0
penalty 惩罚，处罚$0
penance 自我惩罚$0
penchant 爱好，嗜好$0
pending 即将发生的；未决的$0
pendulum 摆，钟摆$0
penetrate 刺穿；渗入；了解$0
peninsula 半岛$0
penitent 后悔的，忏悔的$0
pennant 信号旗$0
penultimate 倒数第二的$0
penury 贫穷；吝啬$0
perambulate 巡视；漫步$0
pereption 感觉；洞察力$0
perch 栖息$0
percussionist 敲击乐器的乐师$0
peregrination 游历$0
peremptory 不容反抗的；专横的$0
perennial 终年的；永久的$0
perfervid 非常热心的$0
perfidious 不忠的，背信弃义的$0
perfidy 不忠，背叛$0
perforate 打洞$0
perfunctory 草率的，敷衍的$0
peril 危险$0
perilous 危险的，冒险的$0
perimeter 周长$0
periodical 期刊$0
peripatetic 巡游的$0
peripheral 不重要的，外围的$0
periphery 不重要的部分；外围$0
periscope 潜望镜$0
perish 死，消亡$0
perishing 严寒的$0
perjure 作伪证，发假誓$0
perjury 作伪证，发假誓$0
perky 神气的；活泼的$0
permanent 长久的，永久的$0
permeable 可渗透的$0
permeate 扩散；渗透$0
permissive 过分纵容的$0
pernicious 有害的，致命的$0
perpendicular 垂直的$0
perpetual 连续不断的；永久的$0
perpetuate 使永存，使永记不忘$0
perquisite 固定津贴；利益$0
persecute 迫害$0
persiflage 挖苦，嘲弄$0
personable 英俊的，风度好的$0
personification 典型，化身，完美榜样$0
personnel 全体人员，员工$0
perspective 角度，方法；透视法$0
perspicacious 独具慧眼的$0
perspicuity 明晰；聪明睿智$0
perspicuous 明晰的；明了的$0
perspire 流汗$0
pertain 属于；关于$0
pertinacious 固执的；无法驾驭的；不妥协的$0
pertinent 有关的，相关的$0
peruse 细读，精读$0
pervade 弥漫，普及$0
perious 可渗透的$0
pessimism 悲观；悲观主义$0
pest 害虫；讨厌的人或物$0
pester 纠缠，强求$0
pesticide 杀虫剂$0
pestilent 致死的；有害的$0
pestle 杵，乳钵槌$0
petal 花瓣$0
petition 请愿；请愿书$0
petitioner 请愿人$0
petrify 石化；吓呆$0
petroglyph 岩石雕刻$0
petroleum 石油$0
petrology 岩石学$0
petty 琐碎的；小心眼儿的$0
petulance 发脾气，性急，暴躁$0
petulant 性急的，暴躁的$0
phantom 鬼怪，幽灵；幻像$0
pharmaceutical 制药的$0
phenomena 现象；科学研究的现象$0
phenomenal 显著的，非凡的$0
philanthropic 博爱的$0
philatelist 集邮家$0
philately 集邮$0
philistine 佣人，市侩$0
phlegmatic 冷静的，冷淡的$0
phoenix 凤凰，永生或再生的象征$0
phonetic 语音的$0
photosynthesis 光合作用$0
physiological 生理的；生理学上的$0
piano 轻柔的$0
pictorial 绘画的；有图片的，用图片表示的$0
piddling 琐碎的，微不足道的$0
pied 杂色的$0
pierce 刺透；穿过$0
piercing 刺骨的；敏锐的$0
pigment 天然色素；干粉颜料$0
pilgrim 朝圣客，香客$0
pillar 柱子$0
pillory 颈手枷；示众，嘲弄$0
pilot 飞行员；领航员；领导人$0
pinch 捏，掐；一撮，一点$0
pine 松树；憔悴$0
pinnacle 尖塔；山峰，顶峰$0
pinpoint 精确地找出或描述；非常精确的$0
pious 虔诚的，尽责的$0
piquant 辛辣的，开胃的；兴奋的$0
pique 不悦，愤怒；冒犯$0
pirate 海盗，剽窃者；盗印；掠夺$0
pirouette 脚尖着地的旋转$0
pistol 手枪$0
pitch 沥青，柏油；音调$0
pitcher 有柄水罐$0
pitfall 陷阱，未料到的危险或困难$0
pith 精髓，要点$0
pithiness 简洁$0
pithy 简练的$0
pitiful 值得同情的，可怜的$0
pittance 微薄的薪俸，少量的收入$0
placate 抚慰，平息$0
placebo 安慰剂$0
placid 安静的，平和的$0
plagiarism 剽窃，抄袭$0
plagiarize 剽窃，抄袭$0
plague 瘟疫；讨厌的人或物；烦扰$0
plain 简单的；清楚的；平原$0
plaintiff 原告$0
plaintive 可怜的，伤心的$0
plait 发辫；编成辫$0
plane 刨子；平面；刨$0
plangent 轰鸣的；悲哀的$0
plankton 浮游生物$0
plaster 灰泥，石膏；抹灰泥$0
plateau 高原；平稳的状态$0
platitude 陈词滥调$0
platonic 理论的；纯精神上的，没有感官欲望的$0
plaudit 喝彩，赞扬$0
plausible 表面上看起来有道理的$0
plead 恳求，提出…为理由$0
pleat 褶$0
pledge 誓言，保证；发誓$0
plenitude 完全；大量$0
plethora 过量，过剩$0
pliable 易弯的，柔软的$0
pliant 易受影响的；易弯的$0
plight 困境，苦境$0
plinth 柱脚，底座$0
plod 重步走；吃力地干$0
plot 情节；阴谋；策划$0
plough 犁；犁地$0
ploy 花招，策略$0
pluck 在困难面前足智多谋的勇气，胆量；精力；拔毛；弹拉$0
plumb 精确地；深入了解；测水深；垂直的$0
plumber 管子工，铅管工$0
plume 羽毛；整理羽毛；搔首弄姿$0
plummet 垂直或突然坠下$0
plunder 抢劫，掠夺$0
plunge 投入；俯冲$0
plush 豪华的$0
plutocracy 财阀统治$0
pod 豆荚；剥掉$0
podiatrist 足病医生$0
podium 讲坛，指挥台$0
poignant 伤心的；尖锐的$0
poise 使相等，使平衡；泰然自若，镇定$0
poisonous 有毒的；有害的$0
poke 刺，戳，贯穿$0
polar 地极的，两极的；磁极的$0
polarity 极端性，两极分化$0
polarize 使…两极分化$0
polemic 争论，论战$0
polemical 挑起论战的$0
polish 把…擦光亮，抛光；上光剂；优雅$0
poll 民意测验；选举投票$0
pollen 花粉$0
pollinate 给…授粉$0
pollster 民意测验家$0
pomposity 自大的行为，傲慢，自命不凡$0
pompous 自大的行为，傲慢，自命不凡$0
poncho 斗篷；雨衣$0
ponder 仔细考虑$0
ponderable 可估量的$0
ponderous 笨重的，笨拙的$0
pontifical 自以为是的；武断的$0
pontificate 自大武断地做或说$0
populace 民众，老百姓$0
populous 人口稠密的$0
porcelain 瓷；瓷器$0
porcupine 豪猪，箭猪$0
pore 毛孔，气孔$0
porous 可渗透的；多孔的$0
portentous 凶兆的，有危险的$0
portfolio 文件夹；股份单$0
portray 描绘，描述$0
pose 摆姿势；造作$0
poseur 装模作样的人$0
posit 断定，认为$0
posse 武装团队$0
possessed 着迷的；疯狂的$0
poster 海报，招贴画$0
postpone 使延期，推迟$0
postulate 假定；要求$0
posture 姿势，体态；态度；故作姿态$0
potable 适于饮用的$0
potation 畅饮；饮料$0
potentate 统治者，当权者$0
potential 潜在的，有可能性的$0
potentiate 加强$0
potpourri 混杂；杂文集$0
pottery 制陶；陶器$0
pout 撅嘴，板脸$0
practitioner 开业者；从事某种手艺者$0
pragmatic 实际的，实用主义的$0
prank 恶作剧，玩笑$0
prate 瞎扯，胡说$0
preach 传教，讲道$0
preamble 前言，序言；先兆$0
precarious 根据不足的，靠不住的；不稳的，危险的$0
precede 在…之前，早于$0
precept 箴言，格言$0
precipice 悬崖$0
precipitant 沉淀剂$0
precipitate 加速，促成；鲁莽的$0
precipitation 降水$0
precis 摘要，大纲$0
precise 精确的$0
preclude 避免，排除$0
precocious 早熟的$0
precursor 先驱，先兆$0
predator 食肉动物$0
predecessor 前任，前辈；原先的东西$0
predestine 注定$0
predicament 困境，窘境$0
predilection 偏袒，爱好$0
predisposition 倾向，癖性$0
predominant 有势力的$0
predominate 支配，统治；占优势$0
preeminent 出类拔萃的$0
preempt 以先买权取得；取代$0
preen 整理羽毛；打扮修饰$0
preface 序言$0
pregnant 怀孕的；充满的$0
prehistoric 史前的$0
prejudice 偏见，成见；使产生偏见$0
preliminary 预备的；初步的，开始的$0
preliterate 文字出现以前的$0
prelude 序幕，前奏$0
premature 过早的，早熟的$0
premeditate 预先想过，预谋$0
premeditated 预谋的，事先计划的$0
premiere 首次公演$0
premise 前提$0
premium 保险费；奖金$0
premonition 预感，预兆$0
preoccupation 全神贯注；使人专注的东西$0
preponderate 压倒，超过$0
preposition 介词，前置词$0
preposterous 荒谬的$0
prerequisite 先决条件$0
prerogative 特权$0
presage 预感；预示$0
prescience 预知，先见$0
prescribe 开处方；规定$0
prescription 处方$0
presentation 表演，介绍，描述$0
presenter 主持人$0
preservation 防腐的；防腐剂$0
preside 担任主席；负责；指挥$0
press 挤压$0
pressing 紧迫的，迫切的；恳切要求的$0
prestige 威信，威望，声望$0
prestigious 有名望的，有威信的$0
presume 假定，认定$0
presumption 冒昧，专横$0
presupposition 预先假定，臆测$0
pretend 假装；装扮$0
pretension 自命不凡，夸耀$0
pretentious 自抬身价的$0
preternatural 异常的；超自然的$0
pretext 借口$0
prevail 战胜；盛行$0
prevaricate 支吾其词，说谎$0
preview 预演，预展$0
previous 在先的，以前的$0
prey 被捕食的动物$0
prim 端庄的，整洁的$0
primate 灵长类$0
prime 全盛时期；最初的；原始的；最好的$0
primp 刻意打扮$0
principal 主要的，重要的$0
principle 原则，原理；道德准则$0
priority 在先，居前；优先权$0
pristine 太古的；纯洁的；新鲜的$0
privation 丧失；贫困$0
privilege 特权，特别利益$0
probe 探索，探测$0
probity 刚直，正直$0
proboscis 长鼻；吸管$0
proceeds 收入$0
procession 行列；行进$0
proclaim 宣告，宣布；显示$0
procrastinate 耽搁，拖延$0
proctor 代理人；学监$0
procure 取得，获得$0
prod 刺，捅；激励$0
prodigal 挥霍的；挥霍者$0
prodigious 巨大的$0
prodigy 奇事；奇才$0
produce 产品；农产品$0
productivity 生产力；生产率$0
profane 亵渎，玷污$0
proffer 献出，赠送；提议，建议$0
proficient 熟练的，精通的$0
profile 外形轮廓侧面像$0
profiteer 奸商，牟取暴利者$0
profligate 挥金如土的人；挥霍者$0
profound 深的；深刻的；渊博的，深奥的$0
profuse 很多的浪费的$0
progeny 后代，子女$0
prognosis 预后，对疾病的发作及结果的预言$0
prohibitive 抑制的；价格贵得买不起的$0
projectile 抛射物，发射体$0
projection 凸出物$0
projector 电影放映机，幻灯机$0
proliferate 繁殖；激增$0
prolific 多产的，多结果的$0
prolix 啰嗦的，冗长的$0
prolixity 啰嗦的，冗长的$0
prologue 开场白；序幕$0
prolong 延长，拉长$0
promenade 散步；开车兜风$0
prominent 显著的；著名的$0
promote 提升；促进$0
prompt 促使，激起；敏捷的，迅速的$0
promulgate 颁布；宣传$0
prone 俯卧的；倾向于…的$0
pronounced 明确的，明显的$0
prop 支撑物，靠山；支持$0
propagate 繁殖；传播$0
propel 推进$0
propensity 嗜好，习性$0
prophecy 预言$0
prophet 先知，预言家$0
prophetic 先知的，预言的，预示的$0
propitiate 讨好；抚慰$0
propitious 吉利的；有利的$0
proposal 提案，建议$0
proposition 看法；提议$0
proprietary 私有的$0
propriety 礼节；适当$0
propulsion 推进力$0
prosaic 单调的，无趣的$0
proscibe 禁止$0
prose 散文$0
prosecute 告发，检举$0
prodecution 起诉；实行，经营$0
proselytize 使…皈依$0
prospect 勘探；期望；前景$0
prosperity 繁荣；幸运；健康$0
prosperous 繁荣富强的$0
prostrate 俯卧的；沮丧的；使下跪，鞠躬$0
protagonist 提议者，支持者$0
protean 变化多端的，多变的$0
protest 抗议，反对$0
protocol 外交礼节；协议，草案$0
prototype 原型；典型$0
protract 延长，拖长$0
probuberant 凸出的，隆起的$0
provenance 出处，起源$0
provender 草料，粮秣$0
provident 深谋远虑的；节俭的$0
providential 幸运的；恰到好处的$0
provincial 褊狭的，粗俗的$0
provision 供应；条款$0
provisional 暂时的，临时的$0
provisory 有附带条件的$0
provocation 挑衅，激怒$0
prowess 勇敢；不凡的能力$0
prowl 潜行于，偷偷地漫游$0
proximate 即将来临的，接近的$0
prude 过分守礼的人$0
prudent 审慎的，三思而后行的；精明的；节俭的$0
prudish 过分守礼的，假道学的$0
prune 梅干；修剪$0
pry 刺探；撬开$0
pseudonym 假名，笔名$0
psyche 心智，精神$0
psychology 心理学，心理状态$0
publicize 引人注意；宣传$0
pucker 起皱；皱褶$0
puckish 淘气的$0
puddle 水坑，洼$0
puerile 幼稚的；儿童的$0
pugilism 拳击，搏击$0
pugilist 拳击手，拳师$0
pugnacious 好斗的$0
puissance 权力$0
puissant 强有力的，强大的$0
pulchritude 美丽$0
pullet 小母鸡$0
pulley 滑轮；滑车$0
pulp 果肉酱；纸浆$0
pulse 搏动，跳动；脉搏；脉冲$0
pulverize 压成细粉；彻底击败$0
pun 双关语$0
punch 以拳猛击；打洞$0
punctilious 谨小慎微的，神经质的，为小事挂虑的$0
puncture 刺穿，刺破；刺孔，穿孔$0
pundit 权威人士，专家$0
pungent 味道刺激的；苛刻的$0
puny 弱小的，发育不良的$0
purchase 支点$0
purgative 泻药$0
purgatory 炼狱；受苦受难的地方$0
purge 清洗，洗涤$0
purify 使洁净，净化$0
purity 纯洁，纯净；纯度$0
purlieu 邻近地区$0
purloin 偷窃$0
purported 谣传的，声张的，号称的$0
pursue 追赶，追求，追踪$0
purvey 供给，供应$0
pusillanimous 胆小的$0
pylon 高压电线架；桥塔$0
pyre 火葬用的柴堆$0
quack 冒充内行之人；庸医$0
quaff 痛饮，畅饮$0
quail 畏惧，颤抖$0
quaint 离奇有趣的$0
qualified 有资格的；有限制的$0
qualms 疑虑$0
quandary 困惑，进退两难$0
quantum 量子；定量$0
quarantine 隔离检疫期，隔离$0
quarry 猎物$0
quartet 四重奏，四重唱$0
quash 镇压；取消$0
quaver 发颤音，颤抖；颤音$0
quay 码头$0
quell 制止，镇压$0
quench 熄灭；抑制$0
querulous 抱怨的，多牢骚的$0
quest 搜寻，探求；探求$0
queue 排队；长队$0
quibble 遁词；吹毛求疵的反对意见$0
quiescent 不动的，静止的$0
quill 刺$0
quirk 奇事；怪癖$0
quisling 卖国贼，内奸$0
quiver 箭筒，箭囊$0
quixotic 不切实际的空想的$0
quota 定额，配额$0
quote 引用，引述$0
quotidian 每日的；平凡的$0
rabble 乌合之众；下等人$0
rabid 患狂犬病的；失去理性的$0
rabies 狂犬病；恐水病$0
raconteur 善于将故事的人$0
racy 活泼的，生动的$0
radius 半径$0
raffish 粗俗的；俗艳的$0
raffle 抽奖售物$0
rafter 椽子$0
rag 旧布，碎步；破旧衣服$0
ragged 破烂的$0
raid 突然袭击$0
rail 栏杆；铁轨；咒骂，猛烈指责$0
raisin 葡萄干$0
rakish 潇洒的；放荡的$0
rally 召集，集会；召集；集会$0
ram 公羊；撞击，猛击$0
ramble 漫步；漫步$0
rambunctious 骚乱的；控制不了的$0
ramify 分支，分叉$0
rampage 狂暴地乱冲；暴怒$0
rampant 蔓生的，猖獗的$0
rampart 壁垒；城墙$0
ramshackle 摇摇欲坠的$0
rancid 不新鲜的，变味的$0
rancor 深仇，怨恨$0
random 没有明确目的、计划或者目标的；偶然的，随便的$0
ranger 森林管理员；巡逻骑警$0
rankle 怨恨；激怒$0
ransom 赎金；赎身；赎回$0
rant 咆哮；口出狂言$0
rapacious 强夺的；贪婪的$0
rapids 急流，湍流$0
rapport 和睦，意见一致$0
rapprochement 和好，和睦$0
rapt 专心致志的，全神贯注的$0
rarefaction 稀薄$0
raspy 刺耳的；恼人的$0
ratification 正式批准$0
ratiocination 推理；理论$0
ration 定量配给；配给$0
rational 理性的；合理的$0
rattle 使咯咯作响，使慌乱$0
raucous 沙哑的；粗糙的$0
ravage 摧毁，使荒废$0
rave 热切赞扬；狂语$0
ravel 纠缠，纠结；拆开，拆散$0
ravenous 饿极了的；贪婪的$0
ravishing 令人陶醉的$0
raze 彻底破坏$0
razor 剃刀，刮胡刀$0
reactant 反应物$0
reactionary 保守的，反动的$0
readily 不迟疑地；迅速地，轻易地$0
ready 机敏的，迅速的$0
reagent 试剂$0
realign 重新组合$0
realm 王国；领域，范围$0
ream 令人陶醉的$0
reap 收割，收获$0
rebate 折扣，回扣$0
rebellious 反抗的；难控制的$0
rebuff 断然拒绝的$0
rebuke 指责，谴责$0
rebus 字谜，画谜$0
rebuttal 反驳，反证$0
recalcitrant 顽抗的$0
recall 回想，回忆起；收回；唤回$0
recant 改变，放弃$0
recantation 改变宗教信仰$0
recapitulate 扼要重述$0
recast 重铸；更换演员$0
recede 后退；收回$0
receipt 收到，接到；发票，收据$0
receptacle 容器$0
receptive 善于接受的；从善如流的$0
recess 壁凹；休假$0
recession 经济萧条时期；撤回，退回$0
recessive 后退的；隐形的$0
recipe 食谱$0
recipient 接受者，收受者$0
reciprocal 相互的，互惠的$0
reciprocate 回报，答谢$0
recital 独奏；吟诵$0
reclaim 纠正；开垦$0
recluse 隐士；隐居的$0
recoil 退却，退缩$0
recollection 记忆力；记忆中的往事$0
recombine 重组，再结合$0
recompense 报酬，赔偿$0
reconcile 和解，调和$0
recondite 深奥的$0
reconnaissance 侦察，预先探索$0
reconstitute 再组成；用水泡$0
recourse 求助，依靠$0
recruit 新兵；新成员；征募$0
rectangle 长方形，矩形$0
rectify 改正，调正；提纯$0
rectitude 诚实，正直；公正$0
recumbent 侧卧的；休息的$0
recuperate 恢复，复原$0
redeem 赎罪$0
redemptive 赎回的，救赎的，救世的$0
redirect 改寄；改变方向$0
redistribution 重新分配$0
redolent 芬芳的，芳香的$0
redoubtable 可敬畏的$0
redress 改正，修正$0
redundancy 过剩；备份$0
redundant 累赘的；多余的$0
reed 芦苇；簧片$0
reek 发臭味；冒烟$0
reel 卷轴，旋转；卷…于轴上$0
rerectory 餐厅，食堂$0
referee 裁判员；仲裁者$0
refinery 提炼厂，精炼厂$0
reflect 反射；仔细考虑$0
refraction 折射$0
refractory 倔强的；反应迟钝的$0
refrain 抑制；歌曲的反复句，叠句$0
refresh 消除…的疲劳，使精神振作$0
refugee 难民，流亡者$0
refulgent 辉煌的，灿烂的$0
refurbish 刷新，擦亮$0
refute 驳斥$0
regale 款待；使…享受$0
regime 政权，政治制度$0
regress 使倒退，复原，逆行$0
regressive 退步的，退化的$0
regulate 管制；调整$0
rehabilitate 修复，恢复$0
rehearsal 排演，演习$0
rehearse 排练，预演；详述$0
reign 统治时期；王朝；领域$0
reimburse 偿还$0
rein 缰绳；控制$0
reinforce 加强力量，增援$0
reinstate 恢复，复原$0
reiterate 重申，反复地说$0
rejoice 喜欢，高兴$0
rejuvenate 使返老还童$0
relapse 旧病复发；再恶化；旧病复发，再恶化$0
relate 讲述；有关联$0
relaxation 放松，消遣$0
release 释放，放出；释放$0
relegate 降级；贬谪；交付，托付$0
relent 动怜悯心；减弱$0
relenting 减弱的；怜悯的$0
relentless 无情的，残酷的$0
reliance 信赖，信任$0
relic 遗物，遗迹$0
relieved 宽慰的，如释重负的$0
relinquish 放弃，废除$0
relish 味道；喜好；喜好，享受$0
remainder 剩余物$0
remains 遗址，废墟$0
reminder 提醒人记忆之物$0
reminisce 追忆，怀旧$0
remiss 疏忽的，不留心的$0
remnant 残余物；零头布料$0
remorse 懊悔，悔恨$0
remove 移走；脱掉；迁移$0
remunerative 报酬高的，有利润的$0
rend 撕裂，分裂；猛拉$0
reder 呈递，表现；提供$0
rendering 演出；翻译$0
rendezvous 约会；约会地点$0
renegade 叛教者，叛徒$0
renege 背信，违约$0
renounce 放弃，废除$0
renovate 修复，装修，翻新$0
renown 名望，声誉$0
rent 裂缝；分歧$0
reparable 能补救的，可挽回的$0
reparation 赔偿，补偿$0
repartee 机灵的回答$0
repatriate 遣返$0
repeal 废除$0
repel 击退；使…反感$0
repellent 令人厌恶的$0
repercussion 反响；影响$0
repertoire 常备剧目$0
repine 不满，心中抱怨$0
replenish 补充，再装满$0
replete 饱满的，塞满的$0
reportorial 记者的；纪实的$0
repose 躺着休息，安睡$0
reprehend 谴责，责难$0
reprehensible 应受谴责的$0
repressed 被压制的，被压抑的$0
reprieve 缓刑；暂时解救；缓刑，暂时解救$0
reprimand 训诫，谴责；训诫，谴责$0
reprisal 报复$0
reprise 乐曲的重复；重复$0
reproach 谴责，责骂$0
reprobate 谴责，指责；堕落的$0
reproof 责斥，责备$0
reprove 责骂，申斥$0
reptile 爬行动物；卑鄙的人$0
reptilian 爬虫类的；卑下的$0
repudiate 拒绝，抛弃$0
repugnance 嫌恶，反感$0
repugnant 令人厌恶的$0
repulse 驱逐，击退；厌恶；回绝，拒绝；击退$0
repulsion 厌恶，反感；排斥力$0
reputation 名声$0
repute 名声，名誉$0
request 要求，请求；要求，请求$0
requisite 必需物；必要的$0
requite 报答；报复$0
rescind 废除，取消$0
rescission 废除$0
rescue 解救；把…从法律监管下强行夺回$0
resent 憎恶，愤恨$0
resentment 愤恨，怨恨$0
reserve 储备，储藏量；缄默，谨慎；保留，储备，预订$0
reside 居住$0
resident 居民；定居的，常驻的$0
residual 残余的，剩余的$0
residue 剩余$0
resignation 听从，顺从；辞职$0
resigned 逆来顺受，顺从的$0
resilience 弹性，弹力$0
resilient 有弹性的；能恢复活力的，适应力强的$0
resonant 洪亮的；共鸣的$0
resort 度假胜地$0
resound 回荡着声音；鸣响$0
resourceful 机智的$0
respiration 呼吸$0
respite 休息；暂缓$0
resplendent 华丽的，辉煌的$0
respondent 被告$0
response 反应，响应；回答$0
responsive 敏感的；反应快的$0
responsiveness 应答，响应$0
restitution 归偿；赔偿$0
restive 不安静的，不安宁的$0
restiveness 倔强；难以驾驭$0
restless 不停的；不安静的$0
restore 使回复，恢复；恢复，修补$0
restored 恢复的；复修的$0
restrain 克制，抑制$0
restraint 克制，抑制$0
resume 重新开始，继续$0
resurgence 再起，复活，再现$0
resurrect 使复活；复兴$0
resuscitate 使复活，使苏醒$0
retail 零售；零售$0
retain 保留，保持；留住$0
retainer 侍从$0
retaliate 报复，反击$0
retaliation 报复$0
retard 妨碍；减速$0
reticent 沉默不语的$0
retinue 侍从；随员团$0
retiring 隐居的，不喜欢社交的$0
retort 反驳$0
retouch 修描；润色$0
retrace 回顾，追想$0
retract 缩回，收回$0
retreat 撤退；隐居处$0
retrench 节省，紧缩费用$0
retribution 报应，惩罚$0
retrieve 寻回，取回；挽回$0
revealing 暴露的，裸露的；揭露性的$0
revelation 显示；泄露的事实$0
