a art.一(个)；每一(个)$0
gold n.金；钱财 a.金制的$0
golden a.金色的；极好的$0
golf n.高尔夫球$0
good a.好的；有本事的$0
goodbye int.再见，再会$0
goodness n.优良，德性，仁慈$0
goods n.货物，商品$0
goose n.鹅，雌鹅$0
govern vt.统治，治理；支配$0
government n.政府；治理；政治$0
governor n.州长；主管人员$0
gown n.长袍，长外衣$0
grace n.优美，文雅；雅致$0
graceful a.优美的，优雅的$0
gracious a.有礼貌的；仁慈的$0
grade vt.给…分等级 n.等级$0
gradual a.逐渐的；渐进的$0
gradually ad.逐渐地，逐步地$0
graduate n.毕业生 vi.大学毕业$0
grain n.谷物，谷粒；颗粒$0
gramme n.克(重量单位)$0
grammar n.语法；语法书$0
grammatical a.语法上的$0
grand a.宏伟的；重大的$0
granddaughter n.孙女，外孙女$0
grandfather n.祖父；外祖父$0
grandmother n.祖母，外祖母$0
grandson n.孙子，外孙子$0
grant n.授给物 vt.授予$0
grape n.葡萄；葡萄藤$0
graph n.(曲线)图，图表$0
grasp vt.抓紧；掌握 n.抓$0
grass n.草；牧草；草地$0
grateful a.感激的；令人愉快的$0
gratitude a.感激，感谢，感恩$0
grave n.坟墓 a.严重的$0
gravity n.重力，引力；严重性$0
gray a.灰色的 n.灰色$0
great a.大的；伟大的$0
greatly ad.大大地，非常$0
greedy a.贪吃的；贪婪的$0
Greek a.希腊的 n.希腊人$0
green a.绿色的 n.绿色$0
greenhouse n.温室，玻璃暖房$0
greet vt.问候，招呼；反应$0
greeting n.问候，招呼，致敬$0
grey a.灰色的 n.灰色$0
grieve vt.使悲痛 vi.悲痛$0
grind vt.磨(碎)；磨快$0
grip vt.握紧，抓牢 n.紧握$0
groan vi.哼，呻吟 n.呻吟$0
grocer n.食品商；杂货商$0
grocery n.食品杂货店$0
gross a.总的；严重的$0
ground n.地；场地；根据$0
group n.小组，群 vi.聚集$0
grow vi.生长；变得；增长$0
growth n.增长；增长量；生长$0
guarantee n.保证；担保物$0
guard vt.守卫；看守 n.卫兵$0
guess vt.&vi.&n.猜测，推测$0
guest n.客人，宾客；旅客$0
guidance n.引导，指导，领导$0
guide n.导游者 vt.给…导游$0
guilty a.内疚的；有罪的$0
gulf n.海湾$0
gum n.口香糖；树胶$0
gun n.枪，炮，手枪$0
gunpowder n.黑色火药；有烟火药$0
gymnasium n.体育馆，健身房$0
habit n.习惯；习性$0
habitual a.习惯性的，惯常的$0
hair n.头发，毛发；毛$0
haircut n.理发$0
half n.半，一半 a.一半的$0
hall n.门厅；过道；会堂$0
halt vi.停止；立定 n.停住$0
hamburger n.汉堡包，牛肉饼$0
hammer n.锤，榔头 vt.锤击$0
hand n.手；人手；指针$0
handful n.一把；少数，一小撮$0
handkerchief n.手帕$0
handle n.柄，把手 vt.拿，触$0
handsome a.英俊的；相当大的$0
handwriting n.笔迹，手迹，书法$0
handy a.手边的；便于使用的$0
hang vt.挂，悬；吊死$0
happen vi.发生；碰巧，恰好$0
happiness n.幸福，幸运；快乐$0
happy a.快乐的；幸福的$0
harbour n.海港，港口 vt.庇护$0
hard a.硬的；困难的$0
harden vt.使变硬 vi.变硬$0
hardly ad.几乎不，简直不$0
hardship n.艰难，困苦$0
hardware n.五金器具；硬件$0
hare n.野兔$0
harm n.伤害，损害 vt.损害$0
harmful a.有害的$0
harmony n.调合，协调，和谐$0
harness vt.治理 n.马具，挽具$0
harsh a.严厉的；刺耳的$0
harvest n.收获，收成 vt.收割$0
haste n.急速，急忙；草率$0
hasten vt.催促 vi.赶紧$0
hasty a.急速的；仓促的$0
hat n.帽子(一般指有边的)$0
hatch vt.孵出 vi.(蛋)孵化$0
hate vt.恨，憎恨；不喜欢$0
hateful a.可恨的，可恶的$0
hatred n.憎恶，憎恨，仇恨$0
have v.aux.已经 vt.有；吃$0
hawk n.鹰，隼$0
hay n.干草$0
hazard n.危险；公害$0
he pron.(主格)他$0
head n.头；上端 vt.率领$0
headache n.头痛；头痛的事$0
heading n.标题，题词，题名$0
headline n.大字标题；新闻提要$0
headmaster n.校长$0
headquarters n.司令部；总部$0
heal vt.治愈；使和解$0
health n.健康，健康状况$0
healthy a.健康的；有益健康的$0
heap n.(一)堆；大量$0
hear vt.听见；审讯；听说$0
heart n.心，内心；勇气$0
heat n.热，炎热 vi.变热$0
heating n.加热，供暖$0
heaven n.天堂；天，天空$0
heavily ad.重重地；大量地$0
heavy a.重的；大的；充满的$0
hedge n.篱笆，树篱；障碍物$0
heel n.脚后跟，踵，后跟$0
height n.高，高度；高处$0
heir n.后嗣，继承人$0
helicopter n.直升机$0
hell n.地狱；极大的痛苦$0
hello int.喂$0
helmet n.头盔，钢盔$0
help vt.帮助；援助 n.帮手$0
helpful a.给予帮助的；有用的$0
helpless a.无助的；无能的$0
hen n.母鸡，雌禽$0
hence ad.因此，所以；今后$0
her pron.(宾格)她；她的$0
herd n.兽群，牧群 vt.放牧$0
here ad.这里；向这里$0
hero n.男主角；英雄；勇士$0
heroic a.英雄的；英勇的$0
heroine n.女主角；女英雄$0
hers pron.她的(所有物)$0
herself pron.她自己；她亲自$0
hesitate vi.犹豫，踌躇；含糊$0
hi ini.嗨(表示问候等)$0
hide vt.把…藏起来；隐瞒$0
high a.高的；高级的 ad.高$0
highly ad.高度地，很，非常$0
highway n.公路；大路$0
hill n.小山，山岗；丘陵$0
hillside n.(小山)山腰，山坡$0
him pron.(宾格)他$0
himself pron.他自己；他亲自$0
hint n.暗示，示意；建议$0
hire vt.租借 n.租用，雇用$0
his pron.他的，他的东西$0
historical a.历史的，有关历史的$0
history n.历史；个人经历$0
hit vt.打；碰撞 n.击$0
hobby n.业余爱好，癖好$0
hold vt.拿住；掌握；拥有$0
hole n.洞；孔眼，裂开处$0
holiday n.假日，节日；假期$0
hollow a.空的；空洞的$0
holy a.神圣的；圣洁的$0
home n.家；家乡 a.家庭的$0
honest a.诚实的；可敬的$0
honesty n.诚实，正直$0
honey n.蜜，蜂蜜；甜，甜蜜$0
honeymoon n.蜜月$0
honour n.光荣；尊敬，敬意$0
honourable a.诚实的；光荣的$0
hook n.钩，挂钩 vt.钩住$0
hope n.&vt.&vi.希望$0
hopeful a.有希望的$0
hopeless a.没有希望的，绝望的$0
horizon n.地平线；眼界，见识$0
horizontal a.地平的；水平的$0
horn n.号角；警报器；角$0
horror n.恐怖；战栗；憎恶$0
horse n.马；马科动物$0
horsepower n.马力$0
hospital n.医院$0
host n.主人；东道主$0
hostess n.女主人；空姐$0
hostile a.敌方的；不友善的$0
hot a.热的；刺激的；辣的$0
hotel n.旅馆$0
hour n.小时；时间，时刻$0
house n.房屋，住宅；商号$0
household n.家庭，户；家务$0
housewife n.家庭主妇$0
how ad.怎么；怎样；多少$0
however ad.然而；不管怎样$0
huge a.巨大的，庞大的$0
human a.人的，人类的 n.人$0
humble a.谦逊的；地位低下的$0
humid a.湿的，湿气重的$0
humorous a.富于幽默的，诙谐的$0
humour n.幽默，诙谐，幽默感$0
hundred num.百，百个 n.许多$0
hunger n.饿，饥饿；渴望$0
hungry a.饥饿的；渴望的$0
hunt n.打猎；搜寻 vt.追猎$0
hurry vi.赶紧 vt.催促$0
hurt vt.使受伤；使痛心$0
husband n.丈夫$0
hut n.小屋，棚屋$0
hydrogen n.氢$0
I pron.(主格)我$0
ice n.冰，冰块 vt.冰镇$0
ice-cream n.冰淇淋$0
idea n.想法；思想；意见$0
ideal a.理想的；观念的$0
identical a.完全相同的；同一的$0
identify vt.认出，识别，鉴定$0
idiom n.习语，成语$0
idle a.空闲的；懒散的$0
i.e. (=that is)那就是，即$0
if conj.假如，如果$0
ignorant a.不知道的；无知的$0
ignore vt.不顾，不理，忽视$0
ill a.有病的；坏的 ad.坏$0
illegal a.不合法的，非法的$0
illness n.病，疾病$0
illustrate vt.(用图等)说明$0
illustration n.说明，图解；例证$0
image n.像；形象；映象$0
imaginary a.想象中的，假想的$0
imagination n.想象；想象力；空想$0
imagine vt.想象，设想；料想$0
imitate vt.模仿，仿效；仿制$0
immediate a.立即的；直接的$0
immediately ad.立即；直接地$0
immense a.巨大的；极好的$0
immigrant n.移民 a.移民的$0
impact n.影响，作用；冲击$0
impatient a.不耐烦的，急躁的$0
implication n.含义，暗示，暗指$0
imply vt.暗示，意指$0
import vt.&n.输入，进口$0
importance n.重要；重要性$0
important a.重要的；有势力的$0
impose vt.把…强加；征(税)$0
impossible a.不可能的，办不到的$0
impress vt.给…深刻印象$0
impression n.印；印象；印记$0
impressive a.给人印象深刻的$0
imprison vt.关押，监禁；限制$0
improve vt.使更好 vi.改善$0
improvement n.改进，改善；改进处$0
in prep.在…里ad.进，入$0
inch n.英寸$0
incident n.发生的事；事件$0
incline n.斜坡 vt.使倾斜$0
include vt.包括，包含$0
income n.收入；收益；进款$0
incorrect a.不正确的，错误的$0
increase vt.&vi.&n.增加$0
increasingly ad.日益，越来越多地$0
indeed ad.真正地；确实$0
indefinite a.不明确的；不定的$0
independence n.独立，自主，自立$0
independent a.独立的；自主的$0
index n.索引；指数；指标$0
India n.印度$0
Indian a.印度的 n.印度人$0
indicate vt.标示，表示；表明$0
indication n.指示；表示；表明$0
indifferent a.冷漠的；不积极的$0
indignant a.愤慨的，义愤的$0
indirect a.间接的；不坦率的$0
indispensable a.必不可少的，必需的$0
individual a.个别的；独特的$0
indoors ad.在室内，在屋里$0
industrial a.工业的；产业的$0
industrialize vt.使工业化$0
industry n.工业，产业；勤劳$0
inefficient a.效率低的，无能的$0
inevitable a.不可避免的，必然的$0
inexpensive a.花费不多的，廉价的$0
infant n.婴儿 a.婴儿的$0
infect vt.传染；感染$0
infer vt.推论，推断；猜想$0
inferior a.下等的；劣等的$0
infinite a.无限的；无数的$0
influence n.影响；势力 vt.影响$0
influential a.有影响的；有权势的$0
inform vt.通知，向…报告$0
information n.消息，信息；通知$0
inhabit vt.居住于，栖息于$0
inhabitant n.居民，住户$0
inherit vt.继承(传统等)$0
initial a.最初的；词首的$0
injection n.注射，注入；充满$0
injure vt.伤害，损害，损伤$0
injury n.损害，伤害；受伤处$0
ink n.墨水，油墨$0
inn n.小旅店；小酒店$0
inner a.内部的；内心的$0
innocent a.清白的，幼稚的$0
input n.输入；投入的资金$0
inquire vt.打听，询问；调查$0
inquiry n.询问，打听；调查$0
insect n.昆虫，虫$0
insert vt.插入; 嵌入; 登载$0
inside prep.在…里面 n.内部$0
insist vi.坚持；坚持要求$0
inspect vt.检查，审查；检阅$0
inspection n.检查，审查；检阅$0
inspire vt.鼓舞；给…以灵感$0
install vt.安装，设置$0
installation n.安装；装置；设施$0
instance n.例子，实例，事例$0
instant n.瞬间 a.立即的$0
instantly ad.立即，即刻$0
instead ad.代替，顶替；反而$0
instinct n.本能；直觉；生性$0
institute n.研究所；学院$0
institution n.协会；制度，习俗$0
instruct vt.教；指示；通知$0
instruction n.命令；教学；教训$0
instrument n.仪器；工具；乐器$0
insufficient a.不足的；不适当的$0
insult vt.&n.侮辱，凌辱$0
insurance n.保险；保险费$0
insure vt.给…保险；确保$0
intellectual n.知识分子 a.智力的$0
intelligence n.智力；理解力；情报$0
intelligent a.聪明的；理智的$0
intend vt.想要，打算；意指$0
intense a.强烈的；紧张的$0
intensity n.强烈，剧烈；强度$0
intensive a.加强的；精耕细作的$0
intention n.意图，意向，目的$0
intentional a.故意的，有意识的$0
interaction n.相互作用；干扰$0
interest n.兴趣；利益；利息$0
interesting a.有趣的，引人入胜的$0
interfere vi.干涉，干预；妨碍$0
interference n.干涉，干预；阻碍$0
interior a.内的；内地的n.内部$0
intermediate a.中间的；中级的$0
internal a.内的；国内的$0
international a.国际的，世界(性)的$0
interpret vt.解释，说明；口译$0
interpretation n.解释；口译$0
interpreter n.译员，口译者$0
interrupt vt.打断，打扰；中止$0
interruption n.中断，打断；障碍物$0
interval n.间隔；休息；间距$0
interview n.接见；会见；面谈$0
intimate a.亲密的；个人的$0
into prep.进，入；进入到$0
introduce vt.介绍；引进，传入$0
introduction n.介绍；引进；引言$0
invade vt.入侵，侵略；侵袭$0
invasion n.入侵，侵略；侵犯$0
invent vt.发明，创造；捏造$0
invention n.发明，创造；捏造$0
inventor n.发明者；发明家$0
invest vt.投资；投入$0
investigate vt.&vi.调查$0
investigation n.调查，调查研究$0
investment n.投资，投资额，投入$0
invisible a.看不见的，无形的$0
invitation n.邀请，招待；请柬$0
invite vt.邀请，聘请；招待$0
involve vt.使卷入；牵涉$0
inward a.里面的 ad.向内$0
iron n.铁；烙铁 vt.烫(衣)$0
irregular a.不规则的；不整齐的$0
island n.岛，岛屿$0
isolate vt.使隔离，使孤立$0
issue n.问题；发行 vt.发行$0
it pron.这，那，它$0
Italian a.意大利的n.意大利人$0
item n.条，条款；一条$0
its pron.它的$0
itself pron.它自己；自身$0
jacket n.短上衣，茄克衫$0
jail n.监狱 vi.监禁$0
jam n.果酱$0
jam vt.使塞满；使堵塞$0
January n.一月$0
Japan n.日本，日本国$0
Japanese a.日本的 n.日本人$0
jar n.罐子，坛子，广口瓶$0
jaw n.颌，颚$0
jazz n.爵士音乐，爵士舞曲$0
jealous a.妒忌的；猜疑的$0
jet n.喷气式飞机；喷嘴$0
jewel n.宝石；宝石饰物$0
jewish a.犹太人的$0
job n.职业；工作；零活$0
join vt.参加；连接$0
joint n.接头，接缝；关节$0
joke n.笑话 vi.说笑话$0
jolly a.快活的；令人高兴的$0
journal n.日报，杂志；日志$0
journalist n.记者，新闻工作者$0
journey n.旅行，旅程 n.旅行$0
joy n.欢乐，喜悦；乐事$0
joyful a.十分喜悦的，快乐的$0
judge n.法官；裁判员$0
judgement n.意见；审判；判断$0
juice n.(水果等)汁，液$0
July n.七月$0
jump vi.跳；暴涨 vt.跳过$0
June n.六月$0
jungle n.丛林，密林，莽丛$0
junior a.年少的 n.晚辈$0
jury n.陪审团；评奖团$0
just ad.刚才；只是；正好$0
justice n.正义，公正；司法$0
justify vt.证明…是正当的$0
keen a.热心的；激烈的$0
keep vi.保持；坚持$0
keeper n.看护人；饲养员$0
kettle n.水壶，水锅$0
key n.钥匙；键；答案$0
keyboard n.键盘$0
kick vi.&vt.&n.踢$0
kid n.小孩，儿童，少年$0
kill vi.杀死；扼杀；消磨$0
kilogram n.千克，公斤$0
kilometer n.千米，公里$0
kind n.种类$0
kind a.友好的；和蔼的$0
kindness n.仁慈，好意$0
king n.国王，君主$0
kingdom n.王国；领域，界$0
kiss vt.吻 vi.接吻 n.吻$0
kitchen n.厨房，灶间$0
kite n.风筝$0
knee n.膝，膝盖，膝关节$0
kneel vi.跪，跪下，跪着$0
knife n.小刀，刀，餐刀$0
knit vt.把…编结 vi.编织$0
knob n.门把，拉手；旋纽$0
knock vi.&vt.&n.敲，击，打$0
knot n.(绳的)结，(树的)节$0
know vt.知道；认识；通晓$0
knowledge n.知识，学识；知道$0
lab n.实验室，研究室$0
label n.标签；标记，符号$0
laboratory n.实验室，研究室$0
labour n.劳动；工作；劳工$0
lace n.鞋带，系带；花边$0
lack vi.&vi.&n.缺乏，不足$0
ladder n.梯子，梯状物$0
lady n.女士，夫人；贵妇人$0
lag vi.走得慢 n.落后$0
lake n.湖$0
lamb n.羔羊，小羊；羔羊肉$0
lame a.跛的；瘸的，残废的$0
lamp n.灯$0
land n.陆地；土地 vi.上岸$0
landing n.上岸，登陆，着陆$0
landlady n.女房东；女地主$0
landlord n.地主；房东，店主$0
lane n.(乡间)小路；跑道$0
language n.语言，语言课程$0
lantern n.提灯，灯笼$0
lap n.膝部；一圈$0
large a.大的；巨大的$0
largely ad.大部分；大量地$0
laser n.激光$0
last a.最后的 ad.最后$0
last vi.持续，持久；耐久$0
late a.迟的 ad.迟，晚$0
lately ad.最近，不久前$0
later ad.后来；过一会儿$0
Latin a.拉丁的 n.拉丁语$0
latter a.(两者中)后者的$0
laugh vi.笑，发笑 n.笑$0
laughter n.笑，笑声$0
launch vt.发射，投射；发动$0
laundry n.洗衣房，洗衣店$0
lavatory n.盥洗室，厕所$0
law n.法律，法令；法则$0
lawn n.草地，草坪，草场$0
lawyer n.律师；法学家$0
lay vt.置放；铺设；设置$0
layer n.层，层次；铺设者$0
layout n.布局，安排，设计$0
lazy a.懒惰的，懒散的$0
lead vt.为…带路；领导$0
lead n.铅，铅制品$0
leader n.领袖，领导人；首领$0
leadership n.领导$0
leading a.指导的；最主要的$0
leaf n.叶，叶子$0
league n.同盟，联盟；联合会$0
leak vi.漏；泄露 n.漏洞$0
lean vi.倾斜，屈身；*$0
leap vi.跳，跃 n.跳跃$0
learn vi.&vt.学，学习$0
learned a.有学问的；学术上的$0
learning n.学习；学问，知识$0
least a.最少的 ad.最少$0
leather n.皮革；皮革制品$0
leave vi.离去 vt.离开$0
lecture n.&vi.演讲，讲课$0
left a.左边的 ad.在左边$0
leg n.腿，腿部$0
legal a.法律的；合法的$0
legend n.传说，传奇$0
leisure n.空闲时间；悠闲$0
lemon n.柠檬，柠檬树$0
lend vt.把…借给，贷(款)$0
length n.长，长度；一段$0
lens n.透镜，镜片；镜头$0
less a.更少的 ad.更少地$0
lessen vt.减少，减轻；缩小$0
lesson n.功课，课；课程$0
lest conj.惟恐，以免$0
let vt.允许，让；使$0
letter n.信；证书；字母$0
level n.水平面 a.水平的$0
lever n.杆，杠杆；控制杆$0
liable a.易于…的；可能的$0
liar n.说谎的人$0
liberal a.心胸宽大的；慷慨的$0
liberate vt.解放；释放$0
liberation n.解放$0
liberty n.自由；释放；许可$0
librarian n.图书馆馆长$0
library n.图书馆；藏书$0
license n.许可；执照 vt.准许$0
lick vt.舔；舔吃$0
lid n.盖子，盖，囊盖$0
lie vi.躺，平放；位于$0
lie vi.说谎，欺骗 n.谎话$0
lieutenant n.陆军中尉；副职官员$0
life n.生命；一生；寿命$0
lifetime n.一生，终身$0
lift vt.提起，提高 n.电梯$0
light n.光，光线；灯，光源$0
light a.轻的，少量的$0
lighten vt.照亮，使明亮$0
lightly ad.轻轻地，轻松地$0
lightning n.闪电，闪电放电$0
like vt.喜欢；喜爱；希望$0
like prep.像，如；像要$0
likely a.可能的 ad.很可能$0
likewise ad.同样地；也，又$0
limb n.肢，臂，翼；树枝$0
lime n.石灰$0
limit n.限度；限制；范围$0
limitation n.限制；限度，局限$0
limited a.有限的$0
line n.线；排；路线；线条$0
linen n.亚麻布；亚麻织物$0
liner n.班船，班机$0
link vt.有环连接 n.环$0
lion n.狮子；勇猛的人$0
lip n.嘴唇$0
liquid n.液体 a.液体的$0
liquor n.酒；溶液，液剂$0
list n.表，目录 n.列举$0
listen vi.听，留神听；听从$0
listener n.听者，听众之一$0
liter n.升(容量单位)$0
literary a.文学(上)的$0
literature n.文学；文献$0
little a.小的；少；幼小的$0
live vi.居住；活 a.活的$0
lively a.活泼的；逼真的$0
liver n.肝；肝脏$0
living a.活的 n.生活，生计$0
living-room n.起居室$0
load vt.装；装满 n.负载$0
loaf n.一条面包，一个面包$0
loan n.贷款；暂借 vt.借出$0
local a.地方的；局部的$0
locate vt.探明，找出，查出$0
location n.位置，场所$0
lock n.锁 vt.锁上，锁住$0
locomotive n.火车头，机车$0
lodge vi.暂住，借宿，投宿$0
log n.原木，木料$0
logic n.逻辑，推理；逻辑性$0
logical a.逻辑的；符合逻辑的$0
lonely a.孤独的；荒凉的$0
long a.长的；远的 ad.长久$0
long vi.渴望，极想念$0
look vi.看，显得 n.看$0
loop n.圈，环，环孔$0
loose a.松的；宽松的$0
loosen vt.解开；使松驰$0
lord n.贵族；上帝，基督$0
lorry n.运货汽车，卡车$0
lose vt.失去；迷失；输掉$0
loss n.遗失；损失；失败$0
lot n.许多，大量；签，阄$0
loud a.响亮的；吵闹的$0
loudspeaker n.扬声器，喇叭$0
love vt.爱，喜欢 n.爱$0
lovely a.可爱的；令人愉快的$0
lover n.爱好者；情人；情侣$0
low a.低的，矮的；低下的$0
lower a.较低的 vt.放下$0
loyal a.忠诚的，忠心的$0
loyalty n.忠诚，忠心$0
luck n.运气；好运，幸运$0
lucky a.幸运的；吉祥的$0
luggage n.行李；皮箱，皮包$0
lumber n.木材；木料；制材$0
lump n.团，块；肿块$0
lunch n.午餐，(美)便餐$0
lung n.肺脏，肺$0
luxury n.奢侈，奢华；奢侈品$0
machine n.机器；机械$0
mad a.发疯的；恼火的$0
madam n.夫人，女士，太太$0
magazine n.杂志，期刊$0
magic n.魔法，巫术；戏法$0
magnet n.磁铁，磁石，磁体$0
magnetic a.磁的，有吸引力的$0
magnificent n.壮丽的；华丽的$0
maid n.女佣，女仆；少女$0
mail n.邮件 vt.邮寄$0
main a.主要的，最重要的$0
mainly ad.主要地，大体上$0
mainland n.大陆$0
maintain vt.维持；赡养；维修$0
maintenance n.维持，保持；维修$0
major a.较大的 n.专业$0
majority n.多数，大多数$0
make vt.使；做，制造$0
male a.男的，雄的 n.男子$0
man n.男人；人；人类$0
manage vt.管理；设法；对付$0
management n.管理；经营，处理$0
manager n.经理，管理人$0
mankind n.人类$0
manly a.男子气概的，果断的$0
manner n.方式；态度；礼貌$0
manual a.体力的 n.手册$0
manufacture vt.制造 n.制造；产品$0
manufacturer n.制造商；制造厂$0
many a.许多的 pron.许多人$0
map n.地图；图；天体图$0
marble n.大理石$0
March n.三月$0
march vi.行军；游行示威$0
margin n.页边的空白；边缘$0
marine a.海的；海上的$0
mark n.斑点；记号 vt.标明$0
market n.市场；集市；销路$0
marriage n.结婚，婚姻；婚礼$0
married a.已婚的；婚姻的$0
marry vt.娶，嫁 vi.结婚$0
marvelous a.奇迹般的；了不起的$0
Marxisim n.马克思主义$0
Marxist a.马克思主义的$0
mask n.面具；伪装 vt.掩饰$0
mass n.众多；团；群众$0
master n.主人；能手；硕士$0
masterpiece n.杰作，名著$0
mat n.席子；草席；垫子$0
match n.比赛，竞赛；对手$0
match n.(一根)火柴$0
mate n.伙伴，同事；配偶$0
material n.材料；素材a.物质的$0
materialism n.唯物主义$0
mathematical a.数学的，数学上的$0
mathematics n.数学$0
maths n.(英)数学$0
matter n.事情；物质 vi.要紧$0
mature a.成熟的 vt.使成熟$0
maximum n.最大量 a.最大的$0
May n.五月$0
may v.aux.可能；可以，祝$0
maybe ad.大概，或许；也许$0
mayor n.市长$0
me pron.(宾格)我$0
meadow n.草地，牧草地$0
meal n.膳食，一餐$0
mean vt.作…解释；意指$0
mean a.自私的；吝啬的$0
mean a.平均的 n.平均值$0
meaning n.意义，意思；意图$0
means n.方法，手段，工具$0
meantime n.其时，其间 ad.当时$0
meanwhile ad.同时，当时$0
measurable a.可测量的$0
measure vt.量，测量 n.分量$0
measurement n.衡量，测量；尺寸$0
meat n.肉$0
mechanic n.技工，机械，机修工$0
mechanical a.机械的；力学的$0
mechanically ad.机械地$0
mechanics n.力学；技术性细节$0
medal n.奖章，勋章，纪念章$0
medical a.医学的；内科的$0
medicine n.内服药；医学$0
Mediterranean n.地中海 a.地中海的$0
medium n.媒质；中间a.中等的$0
meet vt.遇见 vi.相遇$0
meeting n.聚集，会合，会见$0
melon n.瓜，甜瓜$0
melt vi.融化 vt.使融化$0
member n.成员，会员$0
memorial a.纪念的；记忆的$0
memory n.记忆；回忆；存储$0
mend vt.修理，修补，缝补$0
mental a.智力的；精神的$0
mention vt.&n.提及，说起$0
menu n.菜单；饭菜，菜肴$0
merchant n.商人；零售商$0
mercury n.水银，汞$0
Mercury n.水星$0
mercy n.仁慈，慈悲，恩惠$0
mere a.仅仅的；纯粹的$0
merely ad.仅仅，只不过$0
merit n.长处，优点；功过$0
merry a.欢乐的，愉快的$0
mess n.混乱，混杂，肮脏$0
message n.信息，消息；启示$0
messenger n.送信者，信使$0
metal n.金属，金属制品$0
meter n.计量器，计，表$0
method n.方法，办法；教学法$0
metre n.米，公尺$0
metric a.公制的，米制的$0
microcomputer n.微型计算机，微机$0
microphone n.话筒，麦克风$0
microscope n.显微镜$0
midday n.正午，中午$0
middle n.中部 a.中部的$0
midnight n.午夜，子夜，夜半$0
midst n.中部，中间，当中$0
might v.aux.可能，会，也许$0
might n.力量，威力，能力$0
mild a.和缓的；温柔的$0
mile n.英里$0
military a.军事的；军人的$0
milk n.乳，牛奶 vt.挤(奶)$0
mill n.磨坊；制造厂$0
millimetre n.毫米$0
million num.百万 n.许多$0
mind n.头脑；理智；记忆$0
mine pron.我的$0
mine n.矿，矿山；地雷$0
miner n.矿工$0
mineral n.矿物 a.矿物的$0
minimum n.最小量 a.最小的$0
minister n.部长，大臣；公使$0
ministry n.(政府的)部$0
minor a.较小的；较次要的$0
minority n.少数；少数民族$0
minus a.负的 prep.减(去)$0
minute n.分，分钟；一会儿$0
minute a.微细的；详细的$0
miracle n.奇迹，令人惊奇的人$0
mirror n.镜子 vt.反映，反射$0
miserable a.痛苦的，悲惨的$0
mislead vt.使误入岐途$0
miss n.小姐$0
miss vt.未看到；惦念$0
missile n.发射物；导弹$0
missing a.缺掉的，失去的$0
mission n.使命，任务；使团$0
mist n.薄雾$0
mistake n.错误 vi.误解，弄错$0
Mister n.先生$0
mistress n.女主人；夫人$0
misunderstand vt.误解，误会，曲解$0
mix vt.使混合，混淆$0
mixture n.混合；混合物$0
moan n.呻吟声 vi.呻吟$0
mobile a.运动的；流动的$0
mode n.方式，样式$0
model n.模型；模式；模特儿$0
moderate a.温和的；有节制的$0
modern a.现代的，近代的$0
modest a.有节制的；谦虚的$0
modify vt.更改，修改；修饰$0
moist a.湿润的；多雨的$0
moisture n.潮湿，湿气；温度$0
molecule n.分子，克分子$0
moment n.片刻，瞬间，时刻$0
Monday n.星期一$0
money n.货币；金钱，财富$0
monitor n.班长；监视器$0
monkey n.猴子，猿$0
month n.月，月份$0
monthly a.每月的 ad.每月$0
monument n.纪念碑；纪念馆$0
mood n.心情，情绪；语气$0
moon n.月球，月亮；卫星$0
moral a.道德的；合乎道德的$0
more a.更多的 ad.更$0
moreover ad.再者，加之，此外$0
morning n.早晨，上午$0
mortal a.终有一死的；致死的$0
mosquito n.蚊子$0
most a.最多的 ad.最，很$0
mostly ad.主要的，大部分$0
mother n.母亲，妈妈$0
motion n.运动；手势；提议$0
motivate vt.促动；激励，激发$0
motive n.动机，目的$0
motor n.发动机；机动车$0
mould n.模子，模型 vt.浇铸$0
mount vt.登上，爬上 n.…山$0
mountain n.山，山岳；山脉$0
mourn vi.哀痛，哀悼$0
mouse n.鼠，耗子$0
mouth n.嘴，口，口腔$0
mouthful n.满口，一口，少量$0
move vt.移动；感动 n.动$0
movement n.动作，活动；移动$0
movie n.电影；电影院$0
much ad.非常，很 a.许多的$0
mud n.软泥，泥浆$0
muddy a.多泥的，泥泞的$0
mug n.大杯$0
multiple a.复合的；并联的$0
multiply vt.使增加；乘$0
murder n.&vi.谋杀，凶杀$0
murderer n.杀人犯，凶手$0
muscle n.肌肉，肌；体力$0
museum n.博物馆；展览馆$0
mushroom n.蘑菇，菌类植物$0
music n.音乐，乐曲，乐谱$0
musical a.音乐的；和谐的$0
musician n.音乐家；作曲家$0
must v.aux.必须；必然要$0
mute a.缄默的 n.哑巴$0
mutter vi.轻声低语；抱怨$0
mutton n.羊肉$0
mutual a.相互的；共同的$0
my pron.我的$0
myself pron.我自己；我亲自$0
mysterious a.神秘的；难以理解的$0
mystery n.神秘；神秘的事物$0
nail n.钉；指甲 vt.钉$0
naked a.裸体的；无遮敝的$0
name n.名字；名誉 vt.说出$0
namely ad.即，也就是$0
nap n.小睡，打盹，瞌睡$0
narrow a.狭的，狭窄的$0
nasty a.龌龊的；淫猥的$0
nation n.民族；国家$0
national a.民族的；国家的$0
nationality n.国籍；民族，族$0
native a.本土的 n.本地人$0
natural a.自然界的；天然的$0
naturally ad.自然地；天然地$0
nature n.大自然；本性；性质$0
naughty a.顽皮的，淘气的$0
naval n.海军的，军舰的$0
navigation n.航行；航海术；导航$0
navy n.海军$0
near ad.近，接近 a.近的$0
